username,password,name,team,dateOfBirth,playfieldPosition
jucator_demo1,Demo@1234,Alexandru Popescu,U17 Demo,2008-05-12,Portar
jucator_demo2,Demo@1234,Mihai Constantin,U17 Demo,2007-09-23,Fundaș central
jucator_demo3,Demo@1234,Andrei Popa,U17 Demo,2008-03-15,Fundaș lateral
jucator_demo4,Demo@1234,Gheorghe Radu,U17 Demo,2007-11-08,Fundaș lateral
jucator_demo5,Demo@1234,Cristian Dumitrescu,U17 Demo,2008-01-30,Mijlocaș defensiv
jucator_demo6,Demo@1234,Florin Ionescu,U17 Demo,2007-07-14,Mijlocaș central
jucator_demo7,Demo@1234,Bogdan Stănescu,U17 Demo,2008-06-20,Mijlocaș ofensiv
jucator_demo8,Demo@1234,Marius Tudor,U17 Demo,2007-04-25,Extremă
jucator_demo9,Demo@1234,Răzvan Marinescu,U17 Demo,2008-02-08,Extremă
jucator_demo10,Demo@1234,Ștefan Voicu,U17 Demo,2007-12-18,Atacant
